clean,corrupted,correct_idx,incorrect_idx,nonce_singular,nonce_plural,label
"First, there was one utetornity. Now there are two utetorn","First, there were two utetornities. Now there is one utetorn",1005,414,utetornity,utetornities,0
"First, there were two utetornities. Now there is one utetorn","First, there was one utetornity. Now there are two utetorn",414,1005,utetornity,utetornities,1
"First, there was one fithory. Now there are two fith","First, there were two fithories. Now there is one fith",2370,590,fithory,fithories,0
"First, there were two fithories. Now there is one fith","First, there was one fithory. Now there are two fith",590,2370,fithory,fithories,1
"First, there was one favioty. Now there are two faviot","First, there were two favioties. Now there is one faviot",447,90,favioty,favioties,0
"First, there were two favioties. Now there is one faviot","First, there was one favioty. Now there are two faviot",90,447,favioty,favioties,1
"First, there was one utmesition. Now there are two utmes","First, there were two utmesitions. Now there is one utmes",4431,539,utmesition,utmesitions,0
"First, there were two utmesitions. Now there is one utmes","First, there was one utmesition. Now there are two utmes",539,4431,utmesition,utmesitions,1
"First, there was one cunwre. Now there are two cunw","First, there were two cunwres. Now there is one cunw",373,250,cunwre,cunwres,0
"First, there were two cunwres. Now there is one cunw","First, there was one cunwre. Now there are two cunw",250,373,cunwre,cunwres,1
"First, there was one somant. Now there are two som","First, there were two somants. Now there is one som",1103,386,somant,somants,0
"First, there were two somants. Now there is one som","First, there was one somant. Now there are two som",386,1103,somant,somants,1
"First, there was one monio. Now there are two mon","First, there were two monios. Now there is one mon",3783,900,monio,monios,0
"First, there were two monios. Now there is one mon","First, there was one monio. Now there are two mon",900,3783,monio,monios,1
"First, there was one pran. Now there are two pr","First, there were two prans. Now there is one pr",507,266,pran,prans,0
"First, there were two prans. Now there is one pr","First, there was one pran. Now there are two pr",266,507,pran,prans,1
"First, there was one memion. Now there are two mem","First, there were two memions. Now there is one mem",621,279,memion,memions,0
"First, there were two memions. Now there is one mem","First, there was one memion. Now there are two mem",279,621,memion,memions,1
"First, there was one proment. Now there are two pro","First, there were two proments. Now there is one pro",942,420,proment,proments,0
"First, there were two proments. Now there is one pro","First, there was one proment. Now there are two pro",420,942,proment,proments,1
"First, there was one trale. Now there are two tr","First, there were two trales. Now there is one tr",2339,1079,trale,trales,0
"First, there were two trales. Now there is one tr","First, there was one trale. Now there are two tr",1079,2339,trale,trales,1
"First, there was one urner. Now there are two urn","First, there were two urners. Now there is one urn",398,254,urner,urners,0
