clean,corrupted,clean_answer_idx,corrupted_answer_idx,label
The artilleryman drove because,The artillerywoman drove because,693,1284,1
The bellboy ran because,The bellgirl ran because,693,1284,1
The girlfriend laughed because,The boyfriend laughed because,1284,693,0
The alderwoman was fired because,The alderman was fired because,1284,693,0
The gentlemen slept because,The ladies slept because,693,1284,1
The handyman laughed because,The handywoman laughed because,693,1284,1
The stepmother yelled that,The stepfather yelled that,1284,693,0
The hostess slept because,The host slept because,1284,693,0
"The ex-girlfriend is a great friend, isn't","The ex-boyfriend is a great friend, isn't",1284,693,0
The heir yelled because,The heiress yelled because,693,1284,1
The businessman drove because,The businesswoman drove because,693,1284,1
The muscleman was promoted because,The musclewoman was promoted because,693,1284,1
The milkman ate because,The milkwoman ate because,693,1284,1
The townswoman yelled because,The townsman yelled because,1284,693,0
"The mailman is a nice person, isn't","The mailwoman is a nice person, isn't",693,1284,1
The grandmother said that,The grandfather said that,1284,693,0
The townsman was promoted because,The townswoman was promoted because,693,1284,1
The dad cried because,The mom cried because,693,1284,1
The salesgirl drove because,The salesboy drove because,1284,693,0
The bride ate because,The groom ate because,1284,693,0
The coastguardsman ran because,The coastguardswoman ran because,693,1284,1
The klanswoman wished that,The klansman wished that,1284,693,0
The heroine was fired because,The hero was fired because,1284,693,0
The guardswoman said that,The guardsman said that,1284,693,0
The marksman ran because,The markswoman ran because,693,1284,1
The male laughed because,The female laughed because,693,1284,1
The wingwoman laughed because,The wingman laughed because,1284,693,0
The deliveryman wished that,The deliverywoman wished that,693,1284,1
The boatman ran because,The boatwoman ran because,693,1284,1
The mother-in-law ate because,The father-in-law ate because,1284,693,0
The draftsman whispered that,The draftswoman whispered that,693,1284,1
The woman ate because,The man ate because,1284,693,0
The gentlemen said that,The ladies said that,693,1284,1
The heroine went home because,The hero went home because,1284,693,0
The sister yelled because,The brother yelled because,1284,693,0
The weatherman was promoted because,The weatherwoman was promoted because,693,1284,1
"The wife is a nice person, isn't","The husband is a nice person, isn't",1284,693,0
The coastguardswoman whispered that,The coastguardsman whispered that,1284,693,0
The daughter-in-law slept because,The son-in-law slept because,1284,693,0
"The clansman is a nice person, isn't","The clanswoman is a nice person, isn't",693,1284,1
The mailman yelled because,The mailwoman yelled because,693,1284,1
The he ate because,The she ate because,693,1284,1
The businessman ran because,The businesswoman ran because,693,1284,1
The guy said that,The gal said that,693,1284,1
The father-in-law was promoted because,The mother-in-law was promoted because,693,1284,1
The clanswoman yelled because,The clansman yelled because,1284,693,0
The parisienne slept because,The parisian slept because,1284,693,0
The barmaid stayed up because,The barman stayed up because,1284,693,0
The godson said that,The goddaughter said that,693,1284,1
The markswoman laughed because,The marksman laughed because,1284,693,0
The choirboy ran because,The choirgirl ran because,693,1284,1
The mom stayed up because,The dad stayed up because,1284,693,0
The waiter went home because,The waitress went home because,693,1284,1
The wingman said that,The wingwoman said that,693,1284,1
The nephew laughed because,The niece laughed because,693,1284,1
The ferrywoman wished that,The ferryman wished that,1284,693,0
The lady slept because,The lord slept because,1284,693,0
The muscleman yelled that,The musclewoman yelled that,693,1284,1
"The strongman is a nice person, isn't","The strongwoman is a nice person, isn't",693,1284,1
The grandmother was promoted because,The grandfather was promoted because,1284,693,0
"The draftswoman is a great friend, isn't","The draftsman is a great friend, isn't",1284,693,0
The ex-girlfriend was promoted because,The ex-boyfriend was promoted because,1284,693,0
The draftsman said that,The draftswoman said that,693,1284,1
"The empress is a nice person, isn't","The emperor is a nice person, isn't",1284,693,0
"The heiress is a great friend, isn't","The heir is a great friend, isn't",1284,693,0
The heir said that,The heiress said that,693,1284,1
The englishman slept because,The englishwoman slept because,693,1284,1
The hero wished that,The heroine wished that,693,1284,1
The dad was promoted because,The mom was promoted because,693,1284,1
The father slept because,The mother slept because,693,1284,1
The barman was promoted because,The barmaid was promoted because,693,1284,1
The townswoman yelled that,The townsman yelled that,1284,693,0
The he yelled that,The she yelled that,693,1284,1
"The husband is a great friend, isn't","The wife is a great friend, isn't",693,1284,1
The busboy stayed up because,The busgirl stayed up because,693,1284,1
The husband was fired because,The wife was fired because,693,1284,1
The hostess cried because,The host cried because,1284,693,0
"The kinsman is a nice person, isn't","The kinswoman is a nice person, isn't",693,1284,1
"The man is a great friend, isn't","The woman is a great friend, isn't",693,1284,1
"The ex-husband is a great friend, isn't","The ex-wife is a great friend, isn't",693,1284,1
The businessman was fired because,The businesswoman was fired because,693,1284,1
The nephew went home because,The niece went home because,693,1284,1
The boatman was promoted because,The boatwoman was promoted because,693,1284,1
The heiress ate because,The heir ate because,1284,693,0
The servicewoman wished that,The serviceman wished that,1284,693,0
The deliverywoman slept because,The deliveryman slept because,1284,693,0
The coastguardsman slept because,The coastguardswoman slept because,693,1284,1
The women drove because,The men drove because,1284,693,0
The clanswoman cried because,The clansman cried because,1284,693,0
The wingman ran because,The wingwoman ran because,693,1284,1
"The infantryman is a great friend, isn't","The infantrywoman is a great friend, isn't",693,1284,1
The male was promoted because,The female was promoted because,693,1284,1
The stepsister ran because,The stepbrother ran because,1284,693,0
The she ate because,The he ate because,1284,693,0
The son-in-law yelled that,The daughter-in-law yelled that,693,1284,1
The guardsman wished that,The guardswoman wished that,693,1284,1
The parisienne ran because,The parisian ran because,1284,693,0
The repairwoman was fired because,The repairman was fired because,1284,693,0
The groom whispered that,The bride whispered that,693,1284,1
The wingwoman stayed up because,The wingman stayed up because,1284,693,0
The assemblyman whispered that,The assemblywoman whispered that,693,1284,1
The deliverywoman yelled that,The deliveryman yelled that,1284,693,0
The sister whispered that,The brother whispered that,1284,693,0
The wife ate because,The husband ate because,1284,693,0
"The grandson is a nice person, isn't","The granddaughter is a nice person, isn't",693,1284,1
The nun slept because,The monk slept because,1284,693,0
The klanswoman was promoted because,The klansman was promoted because,1284,693,0
The hostess stayed up because,The host stayed up because,1284,693,0
The actor wished that,The actress wished that,693,1284,1
The kinsman ran because,The kinswoman ran because,693,1284,1
The ex-wife yelled because,The ex-husband yelled because,1284,693,0
The prince slept because,The princess slept because,693,1284,1
The salesboy said that,The salesgirl said that,693,1284,1
The deliverywoman was fired because,The deliveryman was fired because,1284,693,0
The salesboy ate because,The salesgirl ate because,693,1284,1
The he laughed because,The she laughed because,693,1284,1
The princess wished that,The prince wished that,1284,693,0
The mother-in-law whispered that,The father-in-law whispered that,1284,693,0
The sister-in-law yelled that,The brother-in-law yelled that,1284,693,0
The weatherman was fired because,The weatherwoman was fired because,693,1284,1
The heiress was fired because,The heir was fired because,1284,693,0
The irishman yelled that,The irishwoman yelled that,693,1284,1
The parisian yelled because,The parisienne yelled because,693,1284,1
The adulterer wished that,The adulteress wished that,693,1284,1
"The artillerywoman is a great friend, isn't","The artilleryman is a great friend, isn't",1284,693,0
The weatherman went home because,The weatherwoman went home because,693,1284,1
The bellboy slept because,The bellgirl slept because,693,1284,1
The waitress said that,The waiter said that,1284,693,0
The brother went home because,The sister went home because,693,1284,1
"The boy is a great friend, isn't","The girl is a great friend, isn't",693,1284,1
The salesgirl laughed because,The salesboy laughed because,1284,693,0
The boy stayed up because,The girl stayed up because,693,1284,1
The repairwoman slept because,The repairman slept because,1284,693,0
The townsman drove because,The townswoman drove because,693,1284,1
"The repairwoman is a great friend, isn't","The repairman is a great friend, isn't",1284,693,0
The grandmother slept because,The grandfather slept because,1284,693,0
The mom ate because,The dad ate because,1284,693,0
The clansman was fired because,The clanswoman was fired because,693,1284,1
The choirgirl said that,The choirboy said that,1284,693,0
The stepbrother yelled that,The stepsister yelled that,693,1284,1
The adulterer laughed because,The adulteress laughed because,693,1284,1
The bellgirl cried because,The bellboy cried because,1284,693,0
The actor ate because,The actress ate because,693,1284,1
The sister-in-law ran because,The brother-in-law ran because,1284,693,0
"The waiter is a nice person, isn't","The waitress is a nice person, isn't",693,1284,1
The frenchman was fired because,The frenchwoman was fired because,693,1284,1
"The host is a nice person, isn't","The hostess is a nice person, isn't",693,1284,1
The women stayed up because,The men stayed up because,1284,693,0
The alderman ran because,The alderwoman ran because,693,1284,1
The infantrywoman said that,The infantryman said that,1284,693,0
The draftswoman was promoted because,The draftsman was promoted because,1284,693,0
"The boatman is a nice person, isn't","The boatwoman is a nice person, isn't",693,1284,1
The lady ran because,The gentleman ran because,1284,693,0
The lord was promoted because,The lady was promoted because,693,1284,1
The mailwoman was promoted because,The mailman was promoted because,1284,693,0
The girlfriend said that,The boyfriend said that,1284,693,0
The boatman went home because,The boatwoman went home because,693,1284,1
The nephew was promoted because,The niece was promoted because,693,1284,1
The mom went home because,The dad went home because,1284,693,0
The boyfriend went home because,The girlfriend went home because,693,1284,1
The klanswoman stayed up because,The klansman stayed up because,1284,693,0
The wingwoman ate because,The wingman ate because,1284,693,0
The niece was fired because,The nephew was fired because,1284,693,0
The mother-in-law yelled because,The father-in-law yelled because,1284,693,0
The stepmother slept because,The stepfather slept because,1284,693,0
The busgirl stayed up because,The busboy stayed up because,1284,693,0
The male wished that,The female wished that,693,1284,1
The irishman was promoted because,The irishwoman was promoted because,693,1284,1
The guardswoman cried because,The guardsman cried because,1284,693,0
The alderman said that,The alderwoman said that,693,1284,1
The hostess yelled because,The host yelled because,1284,693,0
The englishwoman ran because,The englishman ran because,1284,693,0
"The groom is a nice person, isn't","The bride is a nice person, isn't",693,1284,1
"The bellboy is a nice person, isn't","The bellgirl is a nice person, isn't",693,1284,1
The grandson was promoted because,The granddaughter was promoted because,693,1284,1
"The mailwoman is a great friend, isn't","The mailman is a great friend, isn't",1284,693,0
The infantrywoman drove because,The infantryman drove because,1284,693,0
The princess whispered that,The prince whispered that,1284,693,0
The deliverywoman was promoted because,The deliveryman was promoted because,1284,693,0
The bellboy laughed because,The bellgirl laughed because,693,1284,1
The male ran because,The female ran because,693,1284,1
The brother yelled because,The sister yelled because,693,1284,1
The daughter-in-law whispered that,The son-in-law whispered that,1284,693,0
The infantrywoman slept because,The infantryman slept because,1284,693,0
The heir whispered that,The heiress whispered that,693,1284,1
The lady cried because,The gentleman cried because,1284,693,0
The milkman wished that,The milkwoman wished that,693,1284,1
The grandmother went home because,The grandfather went home because,1284,693,0
"The busgirl is a nice person, isn't","The busboy is a nice person, isn't",1284,693,0
The ex-girlfriend whispered that,The ex-boyfriend whispered that,1284,693,0
The bellboy yelled that,The bellgirl yelled that,693,1284,1
The handyman ran because,The handywoman ran because,693,1284,1
The son-in-law said that,The daughter-in-law said that,693,1284,1
The townswoman was promoted because,The townsman was promoted because,1284,693,0
"The brother is a great friend, isn't","The sister is a great friend, isn't",693,1284,1
"The stepfather is a nice person, isn't","The stepmother is a nice person, isn't",693,1284,1
The men yelled that,The women yelled that,693,1284,1
The parisienne was promoted because,The parisian was promoted because,1284,693,0
The masseur yelled that,The masseuse yelled that,693,1284,1
The markswoman wished that,The marksman wished that,1284,693,0
The hostess wished that,The host wished that,1284,693,0
The klansman yelled because,The klanswoman yelled because,693,1284,1
The infantryman yelled that,The infantrywoman yelled that,693,1284,1
The mailwoman stayed up because,The mailman stayed up because,1284,693,0
The stepsister wished that,The stepbrother wished that,1284,693,0
"The son is a great friend, isn't","The daughter is a great friend, isn't",693,1284,1
The nephew yelled because,The niece yelled because,693,1284,1
The weatherman ran because,The weatherwoman ran because,693,1284,1
The wingman laughed because,The wingwoman laughed because,693,1284,1
The lady was fired because,The lord was fired because,1284,693,0
The markswoman ran because,The marksman ran because,1284,693,0
The son yelled that,The daughter yelled that,693,1284,1
The musclewoman drove because,The muscleman drove because,1284,693,0
The he whispered that,The she whispered that,693,1284,1
The sister drove because,The brother drove because,1284,693,0
The salesboy went home because,The salesgirl went home because,693,1284,1
The milkman was fired because,The milkwoman was fired because,693,1284,1
"The hostess is a nice person, isn't","The host is a nice person, isn't",1284,693,0
The alderwoman yelled because,The alderman yelled because,1284,693,0
"The heroine is a nice person, isn't","The hero is a nice person, isn't",1284,693,0
The monk ate because,The nun ate because,693,1284,1
The masseur drove because,The masseuse drove because,693,1284,1
The repairwoman ran because,The repairman ran because,1284,693,0
The paperboy slept because,The papergirl slept because,693,1284,1
"The great-uncle is a nice person, isn't","The great-aunt is a nice person, isn't",693,1284,1
The handywoman was fired because,The handyman was fired because,1284,693,0
The strongman was promoted because,The strongwoman was promoted because,693,1284,1
The masseur ran because,The masseuse ran because,693,1284,1
The mailwoman slept because,The mailman slept because,1284,693,0
The bellgirl ate because,The bellboy ate because,1284,693,0
The coastguardsman was promoted because,The coastguardswoman was promoted because,693,1284,1
The hostess yelled that,The host yelled that,1284,693,0
The great-aunt wished that,The great-uncle wished that,1284,693,0
The goddaughter was promoted because,The godson was promoted because,1284,693,0
The woman cried because,The man cried because,1284,693,0
The lady ran because,The lord ran because,1284,693,0
"The mother is a nice person, isn't","The father is a nice person, isn't",1284,693,0
The ladies was fired because,The gentlemen was fired because,1284,693,0
